Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status,Ones
03/12/1966,16:31:20,24.122,122.583,Earthquake,30,,,7.5,MW,,,,,,,ISCGEM849160,ISCGEM,ISCGEM,ISCGEM,Automatic,1
04/01/1968,00:42:07,32.449,132.269,Earthquake,34.2,,,7.5,MW,,,,,,,ISCGEM823387,ISCGEM,ISCGEM,ISCGEM,Automatic,1
05/28/1968,13:27:19,-2.85,139.353,Earthquake,45,,,7.5,MW,,,,,,,ISCGEM823104,ISCGEM,ISCGEM,ISCGEM,Automatic,1
08/11/1969,21:27:40,43.599,147.385,Earthquake,25,,,7.5,MW,,,,,,,ISCGEMSUP805431,ISCGEMSUP,ISCGEM,ISCGEM,Automatic,1
04/25/1972,19:30:07,13.402,120.275,Earthquake,25,,,7.5,MW,,,,,,,ISCGEM774772,ISCGEM,ISCGEM,ISCGEM,Automatic,1
08/17/1972,23:44:09,-6.05,152.932,Earthquake,20,,,7.5,MW,,,,,,,ISCGEM770672,ISCGEM,ISCGEM,ISCGEM,Automatic,1
01/30/1973,21:01:12,18.481,-102.996,Earthquake,43,,,7.5,MS,,,,,,,USP00000BF,US,US,US,Reviewed,1
12/28/1973,13:41:46,-14.464,166.601,Earthquake,26,,,7.5,MS,,,,,,,USP00004P9,US,US,US,Reviewed,1
10/08/1974,09:50:58,17.3,-62,Earthquake,47,,,7.5,MS,,,,,,,USP00008AQ,US,US,US,Reviewed,1
02/04/1976,09:01:43,15.324,-89.101,Earthquake,5,,,7.5,MW,,,,,,,USP0000EX3,US,US,1000,Reviewed,1
07/27/1976,19:42:55,39.57,117.978,Earthquake,23,,,7.5,MW,,,,,,,USP0000HJG,US,US,1000,Reviewed,1
04/20/1977,23:42:51,-9.89,160.348,Earthquake,19,,,7.5,MS,,,,,,,USP0000NGG,US,US,US,Reviewed,1
04/20/1977,23:49:13,-9.844,160.822,Earthquake,33,,,7.5,MS,,,,,,,USP0000NGH,US,US,US,Reviewed,1
04/21/1977,04:24:10,-9.965,160.731,Earthquake,33,,,7.5,MS,,,,,,,USP0000NH4,US,US,US,Reviewed,1
03/23/1978,03:15:20,44.932,148.439,Earthquake,33,,,7.5,MS,,,,,,,USP0000TJH,US,US,US,Reviewed,1
07/08/1980,23:19:20,-12.41,166.381,Earthquake,33,,,7.5,MS,,,,,,,USP00018R3,US,US,US,Reviewed,1
11/20/1984,08:15:16,5.167,125.124,Earthquake,202.2,2.6,,7.5,MW,,,,,,1.3,USP000297P,US,US,HRV,Reviewed,1
08/14/1986,19:39:14,1.795,126.519,Earthquake,33,,,7.5,MW,,,,,,1.4,USP0002X57,US,US,HRV,Reviewed,1
12/30/1990,19:14:19,-5.097,150.967,Earthquake,178.6,,,7.5,MW,,,,,,1.2,USP0004K00,US,US,HRV,Reviewed,1
06/20/1991,05:18:53,1.196,122.787,Earthquake,31.4,,,7.5,MW,,,,,,1.2,USP0004T6G,US,US,HRV,Reviewed,1
06/08/1993,13:03:36,51.218,157.829,Earthquake,70.6,,,7.5,MW,,,,,,1,USP0005U7B,US,US,HRV,Reviewed,1
02/21/1996,12:51:01,-9.593,-79.587,Earthquake,10,,,7.5,MW,,,,,,1.2,USP0007DMB,US,US,HRV,Reviewed,1
11/08/1997,10:02:53,35.069,87.325,Earthquake,33,,,7.5,MWC,,,,,,1.38,USP0008A97,US,US,HRV,Reviewed,1
01/04/1998,06:11:59,-22.301,170.911,Earthquake,100.6,,,7.5,MWC,,,,,,0.88,USP0008DQQ,US,US,HRV,Reviewed,1
05/03/1998,23:30:22,22.306,125.308,Earthquake,33,,,7.5,MWB,,,,,,0.99,USP0008MDK,US,US,US,Reviewed,1
09/30/1999,16:31:16,16.059,-96.931,Earthquake,60.6,2.5,,7.5,MWC,,,,,,0.93,USP0009F7V,US,US,HRV,Reviewed,1
11/26/1999,13:21:16,-16.423,168.214,Earthquake,33,,,7.5,MWC,,,,,,1.2,USP0009J4N,US,US,HRV,Reviewed,1
01/01/2001,06:57:04,6.898,126.579,Earthquake,33,,324,7.5,MWC,,,,,,1.06,USP000A70H,US,US,HRV,Reviewed,1
10/19/2001,03:28:44,-4.102,123.907,Earthquake,33,,234,7.5,MWC,,,,,,1.14,USP000AR78,US,US,HRV,Reviewed,1
03/05/2002,21:16:09,6.033,124.249,Earthquake,31,,321,7.5,MWC,,,,,,0.95,USP000AZQW,US,US,HRV,Reviewed,1
11/11/2004,21:26:41,-8.152,124.868,Earthquake,10,,301,7.5,MWC,,,33.8,,,1.07,USP000D85G,US,US,HRV,Reviewed,1
09/26/2005,01:55:38,-5.678,-76.398,Earthquake,115,,696,7.5,MWB,,,26.2,,,0.88,USP000E09H,US,US,US,Reviewed,1
01/21/2007,11:27:45,1.065,126.282,Earthquake,22,,570,7.5,MWC,,,21.6,,,1.22,USP000F34B,US,US,GCMT,Reviewed,1
08/08/2007,17:05:05,-5.859,107.419,Earthquake,280,,228,7.5,MWC,,,30.7,,,1.13,USP000FJ6K,US,US,GCMT,Reviewed,1
